2025-07-16 12:04:45,039 | DEBUG | reqId:47CF09A599BA4830AFA68369696E40D1 | com.mt.formalyze.ui.jsf.servlet.CleanupServlet.doPost(CleanupServlet.java:69) - Cleaning up controller '6654e98b-2267-4829-9007-eb20f00dad16'
2025-07-16 12:04:45,040 | DEBUG | reqId:47CF09A599BA4830AFA68369696E40D1 | com.mt.formalyze.ui.jsf.servlet.CleanupServlet.doPost(CleanupServlet.java:69) - Cleaning up controller '022f5999-9200-4e21-aa9e-7e9c298fe724'
2025-07-16 12:04:53,339 | DEBUG | reqId:2C4315544DC4481F8791F373F42E091D | com.mt.web.registration.controller.CMSGenericFormController.initPasswordComplexity(CMSGenericFormController.java:405) - WEBCARE PWDREGEX: = ^(?=.*[a-z])(?=.{1,12}$)[a-z]+$
2025-07-16 12:04:53,344 | DEBUG | reqId:2C4315544DC4481F8791F373F42E091D | com.mt.web.registration.controller.CMSGenericFormController.getInitExtras(CMSGenericFormController.java:306) - allowedCharacterRepetition: 5 | passwordXCharsNotInUserName=*
2025-07-16 12:04:53,346 | DEBUG | reqId:2C4315544DC4481F8791F373F42E091D | com.mt.web.registration.controller.CMSGenericFormController.getInitExtras(CMSGenericFormController.java:307) - PWDREGEX: ^(?=.*[a-z])(?=.{1,12}$)[a-z]+$
2025-07-16 12:04:53,346 | DEBUG | reqId:2C4315544DC4481F8791F373F42E091D | com.mt.web.registration.controller.CMSGenericFormController.getInitExtras(CMSGenericFormController.java:311) - Username: pipulwebcare , SHOW_OTP_FLAG: false, SHOW_CHANGE_PWD_FLAG: false
2025-07-16 12:04:53,346 | DEBUG | reqId:2C4315544DC4481F8791F373F42E091D | com.mt.web.registration.controller.CMSGenericFormController.getInitExtras(CMSGenericFormController.java:314) - BANK_PROFILE: ALL
2025-07-16 12:04:53,346 | DEBUG | reqId:2C4315544DC4481F8791F373F42E091D | com.mt.web.registration.controller.CMSGenericFormController.getInitExtras(CMSGenericFormController.java:323) - viewOnly: false
2025-07-16 12:04:53,407 | DEBUG | reqId:2C4315544DC4481F8791F373F42E091D | com.mt.web.registration.controller.CMSGenericFormController.getInitExtras(CMSGenericFormController.java:356) - productMode [true]
2025-07-16 12:04:53,407 | DEBUG | reqId:2C4315544DC4481F8791F373F42E091D | com.mt.web.registration.controller.CMSGenericFormController.getInitExtras(CMSGenericFormController.java:357) - formPath [/islapps/mtnacr5/tomcat/temp/0-webcare/CMS/]
2025-07-16 12:04:53,408 | DEBUG | reqId:2C4315544DC4481F8791F373F42E091D | com.mt.web.registration.controller.CMSGenericFormController.init(CMSGenericFormController.java:174) - CMS load form : /islapps/mtnacr5/tomcat/temp/0-webcare/CMS/ - 20
2025-07-16 12:04:53,408 | DEBUG | reqId:2C4315544DC4481F8791F373F42E091D | com.mt.web.registration.controller.CMSGenericFormController.init(CMSGenericFormController.java:181) - Config.PRODUCTION_MODE : true on JSF : /registration/registrationInformation.xhtml
2025-07-16 12:04:53,409 | DEBUG | reqId:2C4315544DC4481F8791F373F42E091D | com.mt.web.registration.controller.CMSGenericFormController.init(CMSGenericFormController.java:184) - Config.EXTERNAL_BUNDLE : com.mt.standard.messages.TextMessage on JSF : /registration/registrationInformation.xhtml
2025-07-16 12:04:53,409 | DEBUG | reqId:2C4315544DC4481F8791F373F42E091D | com.mt.web.registration.controller.CMSGenericFormController.init(CMSGenericFormController.java:190) - CmsController : com.mt.web.registration.controller.CMSGenericFormController@5597659e
2025-07-16 12:04:53,421 | DEBUG | reqId:2C4315544DC4481F8791F373F42E091D | com.mt.formalyze.ui.jsf.JFormLoader.load(JFormLoader.java:99) - CMS Path /islapps/mtnacr5/tomcat/temp/0-webcare/CMS//20/
2025-07-16 12:04:53,574 | DEBUG | reqId:2C4315544DC4481F8791F373F42E091D | com.mt.formalyze.util.script.ELFunctions.log(ELFunctions.java:538) - Name duplicate key = vivi
2025-07-16 12:04:53,574 | DEBUG | reqId:2C4315544DC4481F8791F373F42E091D | com.mt.formalyze.util.script.ELFunctions.log(ELFunctions.java:538) - Name duplicate key = test
2025-07-16 12:04:53,574 | DEBUG | reqId:2C4315544DC4481F8791F373F42E091D | com.mt.formalyze.util.script.ELFunctions.log(ELFunctions.java:538) - Name duplicate key = productvi
2025-07-16 12:04:53,575 | DEBUG | reqId:2C4315544DC4481F8791F373F42E091D | com.mt.formalyze.util.script.ELFunctions.log(ELFunctions.java:538) - Name duplicate key = wctest
2025-07-16 12:04:53,575 | DEBUG | reqId:2C4315544DC4481F8791F373F42E091D | com.mt.formalyze.util.script.ELFunctions.log(ELFunctions.java:538) - Name duplicate key = AutoCreate
2025-07-16 12:04:53,576 | DEBUG | reqId:2C4315544DC4481F8791F373F42E091D | com.mt.formalyze.util.script.ELFunctions.log(ELFunctions.java:538) - Name duplicate key = autowebak
2025-07-16 12:04:53,576 | DEBUG | reqId:2C4315544DC4481F8791F373F42E091D | com.mt.formalyze.util.script.ELFunctions.log(ELFunctions.java:538) - Name duplicate key = turbox
2025-07-16 12:04:53,576 | DEBUG | reqId:2C4315544DC4481F8791F373F42E091D | com.mt.formalyze.util.script.ELFunctions.log(ELFunctions.java:538) - Name duplicate key = pang
2025-07-16 12:04:53,576 | DEBUG | reqId:2C4315544DC4481F8791F373F42E091D | com.mt.formalyze.util.script.ELFunctions.log(ELFunctions.java:538) - Name duplicate key = mtbeer
2025-07-16 12:04:53,577 | DEBUG | reqId:2C4315544DC4481F8791F373F42E091D | com.mt.formalyze.util.script.ELFunctions.log(ELFunctions.java:538) - Name duplicate key = TesterC
2025-07-16 12:04:53,577 | DEBUG | reqId:2C4315544DC4481F8791F373F42E091D | com.mt.formalyze.util.script.ELFunctions.log(ELFunctions.java:538) - Name duplicate key = farooq
2025-07-16 12:04:53,577 | DEBUG | reqId:2C4315544DC4481F8791F373F42E091D | com.mt.formalyze.util.script.ELFunctions.log(ELFunctions.java:538) - Name duplicate key = jfarooq
2025-07-16 12:04:53,578 | DEBUG | reqId:2C4315544DC4481F8791F373F42E091D | com.mt.formalyze.util.script.ELFunctions.log(ELFunctions.java:538) - Name duplicate key = mpos
2025-07-16 12:04:53,578 | DEBUG | reqId:2C4315544DC4481F8791F373F42E091D | com.mt.formalyze.util.script.ELFunctions.log(ELFunctions.java:538) - Name duplicate key = mtna
2025-07-16 12:04:53,579 | DEBUG | reqId:2C4315544DC4481F8791F373F42E091D | com.mt.formalyze.util.script.ELFunctions.log(ELFunctions.java:538) - Name duplicate key = wcjoy
2025-07-16 12:04:53,579 | DEBUG | reqId:2C4315544DC4481F8791F373F42E091D | com.mt.formalyze.util.script.ELFunctions.log(ELFunctions.java:538) - Name duplicate key = wckwan
2025-07-16 12:04:53,580 | DEBUG | reqId:2C4315544DC4481F8791F373F42E091D | com.mt.formalyze.util.script.ELFunctions.log(ELFunctions.java:538) - Name duplicate key = wcuser
2025-07-16 12:04:53,581 | DEBUG | reqId:2C4315544DC4481F8791F373F42E091D | com.mt.formalyze.util.script.ELFunctions.log(ELFunctions.java:538) - Name duplicate key = junmarmpos
2025-07-16 12:04:53,581 | DEBUG | reqId:2C4315544DC4481F8791F373F42E091D | com.mt.formalyze.util.script.ELFunctions.log(ELFunctions.java:538) - Name duplicate key = perfmpos1
2025-07-16 12:05:10,019 | DEBUG | reqId:E937E071C6ED461B92269212ACC7C86C | com.mt.formalyze.util.script.ELFunctions.log(ELFunctions.java:538) - EmptySearchFields, check date range
2025-07-16 12:05:10,022 | DEBUG | reqId:E937E071C6ED461B92269212ACC7C86C | com.mt.formalyze.util.script.ELFunctions.log(ELFunctions.java:538) - ===== start dateRangeCheck ======
2025-07-16 12:05:10,022 | DEBUG | reqId:E937E071C6ED461B92269212ACC7C86C | com.mt.formalyze.util.script.ELFunctions.log(ELFunctions.java:538) - diff = 2592000000
2025-07-16 12:05:10,022 | DEBUG | reqId:E937E071C6ED461B92269212ACC7C86C | com.mt.formalyze.util.script.ELFunctions.log(ELFunctions.java:538) - isLessThanConfigDate = true
2025-07-16 12:05:10,022 | DEBUG | reqId:E937E071C6ED461B92269212ACC7C86C | com.mt.formalyze.util.script.ELFunctions.log(ELFunctions.java:538) - ===== end dateRangeCheck ======
2025-07-16 12:05:10,023 | DEBUG | reqId:E937E071C6ED461B92269212ACC7C86C | com.mt.formalyze.util.script.ELFunctions.log(ELFunctions.java:538) - dateRangeCheck is true
